,frame,x [nm],y [nm],Photon #,Sigma [nm]
1,1.0,2630.021139177861,5875.426012801438,1849.2548610598953,77.98286007401694
2,1.0,1665.918021676159,1808.88072494293,2505.5124169255005,84.00740158133999
3,1.0,5570.532405420477,130.2111947060574,2416.041237832346,87.14393306868557
4,1.0,1184.255533836192,4563.810327945159,2537.5323523144975,90.7865213229055
5,1.0,125.83312275228167,6204.781998432874,2315.515187437814,94.61275386133316
6,1.0,6100.813001623757,928.2305057894646,2328.301492575821,86.04937730331012
7,1.0,4354.885150278651,46.141663567539126,2752.0555861099947,90.16130865986985
8,1.0,3114.164009923378,4138.931530689904,2437.1509443747454,86.98581109388296
9,1.0,6176.171647142106,6310.978072885967,2096.6162137071083,91.16591920223395
10,1.0,2517.7519303784534,5949.6150046696075,1767.9098565540237,95.49465673445202
11,1.0,509.168456236123,4634.383775718236,2152.070849984929,99.72607391936633
12,1.0,2249.007516248296,5634.16030972094,1949.7574378101565,94.30336609125028
13,1.0,1047.2650406726095,134.14609560673654,2080.6004959646393,94.16081918665931
14,1.0,6292.267654616945,3936.113642720248,2426.8418101817942,84.2238785265292
15,1.0,5636.020378977545,170.4901917335988,2190.257161576517,91.63430739434011
16,1.0,3162.0061959140057,4639.882269469631,2162.98989700849,86.76445837429294
17,1.0,2566.1391431582624,3371.6726675631508,2232.2763238165044,88.89242881602244
18,1.0,2888.2653632560846,5832.206534486919,2763.1086551259796,95.78979993306645
19,1.0,4613.611830424936,1761.9021404898867,2702.193974091075,89.55314032513903
20,1.0,1585.7170203949202,305.4988756729848,2357.096802209333,87.72998888457492
21,1.0,3985.791695386566,236.99627114387098,2195.353898624754,84.79402479724676
22,1.0,911.6724215387443,1210.7672069936598,2400.990592992644,89.48631560074475
23,1.0,1287.5282078202545,4185.28283107108,1989.1559558118947,89.4235967725777
24,1.0,519.7934684716245,5088.180664914175,1952.7695897216413,97.28050444630567
25,1.0,6102.222686778406,3209.0919742222823,2254.414453272305,86.73484223945593
26,1.0,356.7249257098908,4682.678203344317,2111.4354628050764,94.29221637327623
27,1.0,3837.033494114784,6196.976097447163,2164.1800659622045,98.17708728886429
28,1.0,4627.184835158288,3040.293938318296,2272.9052586302037,88.18999158719319
29,1.0,6209.85420393486,3481.7677614531503,2261.8547738817833,80.32251619001613
30,1.0,5258.044527437883,6245.991122509055,2410.982905117398,88.19258835625637
31,1.0,3376.326831611911,5901.157971301058,2042.6254602875938,98.14341558657709
32,1.0,2121.4510690794723,3795.0341079819673,2267.9831467105532,89.66901972068938
33,1.0,2265.486051781113,5596.167352084231,2321.7252481315063,91.47063585540295
34,1.0,505.7939280503824,213.61767716304172,2462.5590940211214,96.72264446235432
35,1.0,3557.852034722471,1116.485520612904,2268.965351422276,90.9710042625552
36,1.0,1061.084562494328,3370.9407693655976,1986.012206672011,78.94577388523568
37,1.0,1889.5221186617036,4470.42719630333,1695.5616361861603,97.92092064913778
38,1.0,5379.89430501529,2549.9610122679405,2146.5790048648837,84.64610731042418
39,1.0,2320.3968602475024,2737.6236823036365,1841.7279079290774,93.52948543995707
40,1.0,2181.209456145099,321.917845502729,2164.4650781909927,93.29390102786915
41,1.0,4546.571162985802,979.6589231842681,2219.918163286954,92.18730821254026
42,1.0,202.9296097839918,1046.2871635033841,1963.3340061947194,82.69731197227411
43,1.0,3023.2823426836576,5539.502841312921,2275.537824950673,95.09008029374135
44,1.0,4682.090384675507,3245.5640253471147,2337.9334382363104,88.74118195912412
45,1.0,4948.580955287585,199.58083181822346,1938.6586501429076,76.86997973164739
46,1.0,1543.9666698913206,3859.160144160583,2140.3626717034012,86.40563689704919
47,1.0,1959.6610912667409,6048.463786095737,2103.329924076197,85.92535097974182
48,1.0,874.5576854242763,3767.5706712466344,1665.589683841452,92.20091091096916
49,1.0,3812.708606251716,3803.9552502292963,1988.1955021155486,82.3862576819725
50,1.0,1040.440745469477,2632.417307243025,2271.793442793034,81.18028423089294
51,1.0,5134.894171795667,3734.199359270262,2194.389436564273,91.80615767248457
52,1.0,3200.810573985484,1146.092152993227,2382.450990607883,97.41045303396109
53,1.0,380.7636816989458,4002.88267797237,1911.8879879227939,92.31544059179201
54,1.0,2507.9409662458565,4447.167909013363,2096.5381280630168,87.00464544066983
55,1.0,3966.563212836417,4163.480387634046,1984.7894167741672,88.41770544421092
56,1.0,1204.4277970682401,4854.40324215035,2079.2826088565953,89.45513070300628
57,1.0,2738.4862407748083,4117.50161602292,2062.8140594309634,90.5239987495465
58,1.0,569.4824828409423,3082.2042372006676,2251.4321870579,95.06085929474803
59,1.0,4688.834784400801,3218.102682080658,2314.630494617785,86.15562537185257
60,1.0,2517.1158745040893,3279.3679549111444,2318.3938297101763,97.02410704608724
61,1.0,2202.4729208856334,2.72359718767774,2088.4863555044008,99.23850703796677
62,1.0,2540.062308346006,4373.328833263156,2303.635480443983,91.43425908462945
63,1.0,111.18096588239581,4967.49571886962,2044.1473572571322,101.9200769674164
64,1.0,2997.5359781693614,5501.824901483746,2244.4958494263187,92.31286860119438
65,1.0,5716.803310054369,6173.7554237152135,2560.4317693797802,92.02308148297604
66,1.0,1034.0122362377883,5278.3708325632115,2596.658220401163,100.84104287653987
67,1.0,5404.540562876733,4734.453999514603,2330.4212877733653,86.99385282046605
68,1.0,1760.437099947606,5852.165990359652,1941.6206466989017,100.6589215416813
69,1.0,4919.888197224202,2647.4513533793734,2336.3325152177185,86.39342545541341
70,1.0,5337.616778155417,5112.99789502897,2691.586200016118,91.96758339105725
71,1.0,5768.296433271329,5769.242968654406,2454.0628206903143,95.47949624245571
72,1.0,6219.679487084709,5452.919325894899,2374.057952521972,89.75186694773433
73,1.0,2745.83146078974,2762.1826565961783,2291.2232103224337,90.51287123693814
74,1.0,4390.939559595619,4441.6920830253,2196.5884629680413,85.2502824115473
75,1.0,2088.175860668582,2699.026287328443,1945.758993628996,91.64888832475893
76,1.0,5103.930844708401,1098.3167113010588,2167.282650085794,95.92990800130747
77,1.0,2780.9815876243824,1157.1443276844861,2009.9677027018197,91.79152524478785
78,1.0,3265.2441212783933,5546.825691229377,2377.813857928957,97.05121412984673
79,1.0,4885.303278772981,1069.182687626383,2463.271265233696,90.64080187200537
80,1.0,1113.082578877477,5358.085793758747,2185.0098521974337,94.56996207912788
81,1.0,2895.6514446086508,1920.2546745008449,2052.0792527734707,90.59923064920447
82,1.0,5748.424745496003,568.763667709684,2042.2952520857207,99.77651521769856
83,1.0,4411.41197322403,336.0921481940302,2202.628648647553,88.51512372514523
84,1.0,1830.2080240429482,5374.4981806987735,2420.1742965893727,92.19694867859204
85,1.0,2693.5263339392286,4989.4604606457015,2290.346808644628,95.85328504091932
86,1.0,3634.692782449163,504.76778459816956,1576.854239258053,83.35135991319618
87,1.0,6192.842147792296,68.64001144122724,2108.3649274989343,98.04955026136767
88,1.0,3588.5471450008104,1468.8877102498482,2709.591944410443,93.97225339763976
89,1.0,6226.330952419336,1995.3518763983673,2269.227713142569,92.50331936416819
90,1.0,1094.340592136166,1336.8314447602265,2289.0511509102485,93.29011405771689
