车型-列车号,故障情况,处理情况
AC05-0427,工作令号:四临-2022-11-11 02022-11-30 05:46 四号线上海火车站站上行0427#车开门侧2-3号车门故障切除。,日检上车确认车门切除到位，回库后读取故障，故障代码：DC 1（车门驱动电机回路断线），调取录像发现故障现象为车门关闭后车门指示灯闪烁，更换041582车5号车门的一个从门控制器（LDCU）和一个传动电机后，多次开关门测试功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（从门控制器 厂商：IFE 型号：PMC20-110R）（传动电机 型号规格：N300406R24 生产厂商/品牌：IFE） 旧件：ZE4530011325 1234（服：5568181） 新件：ZE4530001298 0989（部：5200935） 现将041582车5门LDCU与041593车5门LDCU互换 041593车5门序列号为ZE4530001298 0989 041582车5门序列号为ZE4530011325 1218
AC05-0427,工作令号:四日-2022-11-30 041593 3号车门故障,更换041593车3号车门处一个从门控制器后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通）（从门控制器 厂商：IFE 型号：PMC20-110R） 旧件：ZE4530011325 1214（服：5568133） 新件：ZE234743 0666（部：5568137）
AC05-0425,工作令号:四临-2022-12-2 02022-12-01 09:45 四号线延安西路站下行0425#车，第三节车厢开门侧5扇车门未开启,回库后读取故障无相关故障记录，调取录像为041483右侧车门未开启，测量041483车零速继电器81-K306（13/14，43/44）及允许右侧开门继电器81-K314（13/14）触点阻值均正常，更换041483车1门处一个主门控制器及一个零速继电器后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（客室车门控制器(MDCU) 型号:MK7065 厂商:南京康尼机电股份有限公司）（继电器 型号:3RH2131-2KF40 厂商:西门子/SIEMENS）（备件为新件） 新件：312902003009560021A3001186 旧件：31290200300956002212200066（服：5569981） 备注：新件为全新件，无部件修工单 现将041483车2门与041473车2门MDCU互换 041473车2门：31290200300956002212200069 041483车2门：31290200300956002210701736
AC05-0411,工作令号:四临-2022-12-7 02022-12-08 08:42 四号线大连路站上行0411#车第三节车厢第五扇车门故障。,回库后读取故障无相关故障记录，调取录像为车门无法正常关闭，更换040633车9号门处一个传动电机后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（传动电机 型号：N300406R24 厂商：IFE）（备件为返修件）
AC05-0403,工作令号:四日-2022-12-9 040131 4号车门故障,读取故障代码为DC6，调取录像为乘客冲门造成，回库后多次测试开关门功能正常。（日检一班）
AC05-0401,工作令号:四日-2022-12-13 040061 4门、6门故障,读取故障为锁到位限位开关故障，更换2个限位开关后，多次开关门正常。（日检四班）（备件由中车申通提供，坏件由中车申通处理）（备件名称：限位开关   型号：8HN400639P01   厂商：南京康尼机电股份有限公司）
AC05-0412,工作令号:四日-2022-12-18 040682 1号车门故障,读取故障记录，故障代码DC5（车门位置传感器故障），更换040682 车1号车门一个主门控制器（MDCU）和传动电机后多次开关门测试正常（日检二班）（门控器为新件）（传动电机为返修件）（主门控制器型号：MK7065 生产厂商：南京康尼机电股份有限公司）（传动电机型号：N300406R24 生产厂商：IFE） 主门控制器新件序列号：312902003009560021A3001196 旧件序列号：31290200300956002111500068（服：5606707） 备注：门控器为新件无部件修工单
AC05-0407,工作令号:四临-2022-12-11 02022-12-29 20:42 四号线延安西路站上行0407#车，上行右侧4-2车门故障,日检上车确认车门切除到位，回库后读取故障记录为开门障碍物检测故障，检查发现040403车7号门右门页下挡销位置有异物（石子），清除异物后，多次测试开关门功能正常。（日检一班）
AC05-0427,工作令号:四临-2023-1-5 2023-01-15 临平路站下行41091次0427#车司机报：列车下行TC车右侧第5扇车门故障，,日检上车确认车门切除到位，回库后读取故障代码为DC1（车门驱动电机的回路断线），更换041621车10车门一个从门控制器（LDCU）后，多次开关门测试正常。（日检四班）（备件名称：从门控制器（LDCU） 型号：PMC20-110R 厂商：IFE）（备件为返修件） 旧件序列号：ZE4530011325 1248（服：5635099） 新件序列号：ZE4530006741 1043（部：5635104） 现按技术要求10门门控器与8门门控器对换 8门序列号：ZE4530006741 1043 10门序列号：SN09120005
AC05-0403,工作令号:四临-2023-1-13 02023-01-29 13:13 四号线曹杨路站上行40590次0403#车司机报列车右侧司机室右侧门门把手断裂,日检上车确认为040181车司机室右侧侧门锁舌断裂，跟车保驾回库，回库后更换一个司机室侧门锁板（右）后正常，测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（司机室侧门锁板(右) 型号：MY600APR-21501 厂商：南京康尼机电股份有限公司）（备件为返修件）
AC05-0408,工作令号:四日-2023-3-11 040431 9门车门故障,回库后读取故障记录为车门防夹功能触发，调取录像发现为乘客夹门所致，检查040431 9门车门机械结构均正常，多次开关门测试正常。（日检一班）
AC05-0407,工作令号:四日-2023-4-20 040421 司机室右侧侧门无法关闭,重新调整040421司机室右侧侧门锁舌间隙后正常。（日检一班）
04A02-0436,工作令号:四临-2023-5-1 02023-05-01 05:27 四号线塘桥站下行0436#车第一节车厢左侧第一扇车门故障切除,日检上车确认故障，回库后读取故故障为DLS开关不同步，更换042111车1号车门处一个DLS开关（关门到位限位开关）后，多次开关门测试正常。（日检一班）（备件由申通北车提供，坏件交由申通北车处理）（DLS开关（左）型号：12.2307.7301 厂商：上海法维莱交通车辆设备有限公司）
AC05-0408,工作令号:四日-2023-5-5 040481车司机室左侧侧门门锁松动,重新紧固040481车司机室左侧侧门门锁螺丝后正常。（日检一班）
AC05-0420,工作令号:四临-2023-5-13 02023-05-29 06:36 四号线宝山路站下行0420#车，下行17号车门故障，被切除。,"正线日检上车确认041183车7号车门切除到位，回库后读取故障代码为DC2（""车门关闭""限位开关故障），调取录像发现车门无法正常打开，更换041183车7号车门处一个限位开关后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（限位开关 型号：8HN400639P01 厂商：南京康尼机电股份有限公司）（备件为返修件）"
AC05-0401,工作令号:四日-2023-6-2 040061 1、3号门紧急拉手挡板损坏,更换040061车1、3号车门处共2个紧急拉手盖板片后正常。（日检一班）（备件来源：物流仓库）（紧急拉手盖板片 型号：MZXII-41701 厂商：康尼）
AC05-0410,工作令号:四临-2023-6-19 02023-06-30 11:50 四号线浦电路站下行40291次0410#车，第三节车厢第二扇门故障，已切除。,日检上车确认车门切除到位，回库后读取故障无相关故障记录，下载录像发现车门无法正常关闭，更换040583车3号车门处一个客室车门控制器（LDCU）后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（客室车门控制器（LDCU） 型号：MK7063 厂商：南京康尼机电股份有限公司）（备件为新件）（门控器版本号V1.2） 旧件序列号：312903003005590019A2800651（服：5943260） 新件序列号：312902003007680019A2800672（部：5187251）
AC05-0401,工作令号:四日-2023-7-1 040011 左侧司机室侧门门锁松动,重新紧固门锁紧固螺丝后，测试司机室侧门门锁功能正常。（日检一班）
AC05-0405,工作令号:四日-2023-7-8 040251 司机室右侧侧门门锁松动,重新紧固040251司机室右侧侧门门锁紧固件后正常。（日检一班）
AC05-0428,工作令号:四临-2022-8-1 02022-08-03 08:14 四号线浦电路站下行0428#车，面板显示非开门侧5-1车门故障,正线日检上车确认041642车9号车门切除到位，跟车保驾回库，回库后读取故障记录为车门通讯故障，更换041642车9号车门1个从门控制器后，多次开关门测试正常。（日检二班）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：PMC20-110R 生产厂商：IFE）（新件序列号：ZE4530011325 1235（部：4967692） 旧件序列号：ZE4530009661 1183（服：5399574）） 按技术要求将041642车9门和10门从门控制器互换，现041642车10门从门控器序列号：ZE4530011325 1235，041642车9门从门控器序列号：36591057 0001 工单内领用通用工业清洁布用于基地工器具6S管理使用。
AC05-0424,工作令号:四日-2022-8-4 041441车3门，4门，5门，6门，7门，8门，9门显示问号,回库更换041441车1号车门主门控制器（MDCU）后多次开关门测试正常（日检二班）（备件为新件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：MK7065 生产厂商：南京康尼机电股份有限公司） 新件序列号：3108200024901820200565 旧件序列号：0508200024901150500013（服：5401329） 备注：新件为全新备件，无部件修工单号
AC05-0411,"工作令号:四临-2022-8-7 02022-08-08 18:52 四号线大连路站下行0411#车，开门侧1-3,1-4车门故障已切除。",列车直接回库，回库后上车确认040611车5号车门和7号车门切除到位，读取故障记录，040611车7号车门故障代码DC6（车门连续关闭的固定次数下，车门关闭次序中故障探测激活），下载040611车7号车门录像为车门关闭时防夹功能启动，040611车5号车门无相关故障代码，下载040611车5号车门录像为车门关闭后门控器死机，更换040611车7号车门和040611车5号车门从门控制器（LDCU）后多次开关门测试正常（日检二班）（备件为新件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：MK7063 生产厂商：南京康尼机电股份有限公司） 040611车7号车门从门控制器新件序列号：312902003009570021A3001205 040611车7号车门从门控制器旧件序列号：312902003007680019A2800647（服：5408153） 040611车5号车门从门控制器新件序列号：312902003009570021A3001241 040611车5号车门从门控制器旧件序列号：312902003007680019A2800689（服：5408155） 备注：新件为质保提供全新备件，无部件修工单
AC05-0422,工作令号:四日-2022-9-9 041303车6号车门故障,更换041303车6号车门一个从门控制器后多次开关门测试正常（日检二班）（备件为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：PMC20-110R 生产厂商：IFE） 新件序列号：ZE4530016005 1332（部：5464090） 旧件序列号：ZE4530009661 1174（服：5464088）
AC05-0428,工作令号:四日-2022-9-10 041631车9号车门故障,读取故障记录，故障代码DC5，更换041631车9门一个从门控制器（LDCU）后多次开关门测试正常（日检二班）（备件为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：PMC20-110R 生产厂商：IFE） 新件序列号：ZE233482 0441 （部：5254207） 旧件序列号：ZE234874 0712（服：5464070）
AC05-0428,工作令号:四日-2022-10-10 041681车5号车门故障,读取故障记录，故障代码DC8（门控器内部继电器故障），更换041681车5号车门一个从门控制器（LDCU）后多次开关门测试正常（日检二班）（备件为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：PMC20-110R 生产厂商：IFE） 从门控制器新件序列号：ZE230087 0052（部：5227096） 旧件序列号：ZE234655 0596（服：5505042）
AC05-0426,工作令号:四临-2022-10-10 02022-10-19 19:35 四号线南浦大桥站上行0426#车，开门侧3-4车门故障，经司机现场切除后动车。,列车直接回库，回库后读取故障记录，故障代码DC5（车门位置传感器故障），DC7（连续车门打开尝试固定次数下，车门打开次序中电机电流监控），下载录像为车门未打开，更换041543车8号车门一个从门控制器（LDCU）和一个车门传动电机后多次开关门测试正常（日检二班）（备件由中车申通质保提供，坏件由中车申通质保处理）（从门控制器备件和传动电机备件为返修件）（从门控制器型号：MK7063 生产厂商：南京康尼机电股份有限公司）（传动电机型号：N300406R24 生产厂商：IFE） 从门控制器新件序列号：312902003007680019A2800689（部：5408155） 从门控制器旧件序列号：312902003009570021C1600184（服：5515159） 按技术要求将041543车8号车门与10号车门从门控制器互换，现041543车8号车门从门控制器序列号：312902003009570021C1600164 ，041543车10号车门从门控制器序列号：312902003007680019A2800689
AC05-0408,工作令号:四临-2022-11-9 02022-11-27 12:20 四号线虹桥路站下行0408#车，司机室右侧门锁故障。,正线日检上车确认040431司机室右侧侧门锁钩断裂，跟车保驾回库，回库后更换040431司机室侧门门锁(右)后多次开关门测试正常（日检二班）（备件为新件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：MY600APR-21501  生产厂商：南京康尼机电股份有限公司）
AC05-0428,工作令号:四临-2022-12-9 02022-12-13 06:25 四号线南浦大桥站上行0428#车上行右侧15号车门故障切除。,正线日检上车确认041653车10号车门切除到位，跟车保驾回库，回库后读取故障记录无相关车门故障代码，下载录像为车门关闭后门控器死机，更换041653车10号车门一个从门控制器后多次开关门测试正常（日检二班）（从门控制器备件为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（从门控制器型号：PMC20-110R 生产厂商：IFE）（新件序列号：ZE4530011325 1243（部：5199134） 旧件序列号：ZE230087 0140（服：5590620）） 预防性更换041653车10号车门一个车门传动电机后开关门多次测试正常（传动电机为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：N300406R24 生产厂商：IFE） 按技术要求将041653车10号车门与041653车8号车门从门控制器互换，现041653车8号车门从门控制器序列号ZE 4530011325 1243，041653车10号车门序列号：ZE234213 0579
AC05-0403,工作令号:四日-2022-12-23 040181车6号车门故障,读取故障记录，故障代码DC8，DC18，更换040181车6号车门一个从门控制器（LDCU）后多次开关门测试正常（日检四班）（备件为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：PMC20-110R 生产厂商：IFE） 新件序列号：ZE232521 0307（部：5605828） 旧件序列号：ZE233482 0445（服：5605826）
AC05-0428,工作令号:四日-2023-1-7 041681车3号车门与7号车门故障,故障代码DC1，更换041681车3号车门与7号车门从门控制器（LDCU）后多次开关门测试正常（日检二班）（备件为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：PMC20-110R 生产厂商：IFE） 041681车3号车门从门控制器新件序列号：ZE4530001298 0983（部：5622903） 旧件序列号：ZE235294 0863（服：5622862） 041681车7号车门从门控制器新件序列号：ZE231533 0215（部：5622906） 旧件序列号：ZE4530011325 1228（服：5622880）
AC05-0428,工作令号:四日-2023-1-15 041663车和041653车10号车门故障，故障代码DC1,更换041663车和041653车10号车门从门控制器（LDCU）后多次开关门测试正常（日检二班）（备件为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：PMC20-110R 生产厂商：IFE） 041663车从门控制器新件序列号：ZE4530011325 1234（部：5568181） 旧件序列号：ZE235294 0839（服：5635120） 041653车从门控制器新件序列号：ZE4530023969 1463（部：5635122） 旧件序列号：ZE234213 0579（服：5635121）
AC05-0402,工作令号:四日-2023-1-26 040112 3号车门故障,更换040112车3号车门一个从门控制器后多次开关门测试正常。（日检二班） 备件为返修件，备件由中车申通质保提供，坏件由中车申通质保处理。 备件型号规格：PMC20-110R 生产厂商：IFE 新件序列号：ZE233482 0440（部：5648682） 旧件序列号：ZE231533 0209（服：5648681）
AC05-0405,工作令号:四日-2023-2-7 040301 3号车门故障,读取故障无相关车门故障代码，更换040301车3号车门从门控制器后开关门测试正常（日检二班）（备件为返修件）（备件由中车申通质保提供， 坏件由中车申通质保处理）（备件型号：PMC20-110R 生产厂商：IFE） 新件序列号：ZE4530001298 0933（部：5667503） 旧件序列号：ZE4530001298 0940（服：5667501）
AC05-0412,工作令号:四临-2023-3-13 02023-03-15 08:56 四号线中山公园站上行出站0412#车，司机室左侧车门无法关闭。,正线日检上车确认为040721车司机室左侧侧门锁舌断裂，跟车保驾回库，回库后更换040721车一个司机室侧门锁板（左）后测试开关门功能正常。（日检二班）（备件由中车申通质保提供，坏件交由中车申通质保处理）（司机室侧门锁板(左) 型号：MY600APL-21501  生产 厂商：南京康尼机电股份有限公司）
04A02-0432,工作令号:四临-2023-5-11 02023-05-27 20:10 四号线塘桥站下行0432#车，下行方向第四节车厢第二扇车门故障。,正线日检上车确认041893车8号车门切除到位，跟车保驾回库，回库后读取ERM故障记录，故障代码8286（门8R锁闭失败），下载录像为车门无法关闭，检查发现为车门夹到异物（白色塑料盖子）导致车门无法锁闭到位，取出异物后，检查车门机构相关部件及尺寸均正常，多次开关门测试均正常。（日检二班）
AC05-0404,工作令号:四日-2023-5-31 040191车7门；040202车2门；040213车5门，10门；040223车3门，4门；040232车7门；040241车4门车门关闭限位开关（S1）卡滞,更换040191车7门；040202车2门；040213车5门，10门；040223车3门，4门；040232车7门；040241车4门共八个车门关闭限位开关后多次开关门测试正常（日检二班）（备件为新件）（备件由中车申通质保提供，坏件交由中车申通质保处理）（限位开关 型号：8HN400639P01 厂商：南京康尼机电股份有限公司）
AC05-0420,工作令号:四日-2023-6-3 041151车1、3、4、5、6、9、10门 041162车3、4、10门 041173车1、2、3、7、9门 041183车2、3、4、5、8、10门 041192车4、8、10门 041201车4、5、6门 按项目要求整改车门S1限位开关,按项目要求完成041151车1、3、4、5、6、9、10门，041162车3、4、10门，041173车1、2、3、7、9门，041183车2、3、4、5、8、10门，041192车4、8、10
AC05-0404,工作令号:四日-2023-6-3 040191车 1、2、3、4、5、6、8、10门；040202 车1、3、4、5、6、7、8、9、10门；040213 车1、2、3、4、6、7、8、9门；040223车 1、2、5、6、7、8、9、10门；040232车 1、2、3、4、5、6、8、9、10门；040241车 1、2、3、5、6、7、8、9、10门按项目要求整改车门S1限位开关,按项目要求完成040191车 1、2、3、4、5、6、8、10门；
04A02-0452,工作令号:四临-2023-6-10 02023-06-12 17:20 四号线蒲汇塘基地出入库线0452#车，左侧6-1车门故障切除,正线日检上车确认043121车10号车门切除到位，跟车保驾回库，回库读取ERM故障记录，无相关车门故障代码，检查车门相关部件尺寸正常，多次开关门测试均正常（日检二班）
AC05-0411,工作令号:四临-2022-9-6 2022-09-14 14:25 四号线上海火车站站下行0411#车，司机报下行方向开门侧第三节车厢第五扇车门故障，已切除,回库读取故障无相关故障记录，观看录像为乘客扒门造成车门打开后未关闭，检查车门各尺寸正常，车门防夹功能正常，多次开关门正常，（日检四班） 按技术要求现将7门门控器与9门门控器互换 7门门控器序列号 312902003007680019A2800639 9门门控器序列号 312902003007680019A2800636
AC05-0427,工作令号:四临-2022-9-11 02022-09-22 08:36 四号线宜山路站下行0427#车3-3车门故障切除,日检上车确认车门切除到位，跟车保驾回库，回库后读取故障记录无相关车门故障记录，调取录像为车门关闭后门灯闪烁，进一步检查为门控器故障，更换一个从门控制器（LDCU）后正常，多次开关门测试正常。（日检三班）（备件来源：中车申通）（备件为返修件）（型号：PMC20-110R 生产厂商：IFE）（新件序列号：ZE4530012822 1259（部：5481437） 旧件序列号：ZE4530011325 1238（服：5481436））
AC05-0427,工作令号:四临-2022-10-4 02022-10-05 17:02 杨树浦路站下行41091次0427#车开门侧4-4车门故障,日检上车确认车门切除到位，跟车保驾回库，回库后读取故障记录无车门相关故障，调取录像为列车到站开门时门控器死机导致无法正常开门，更换一个从门控制器（LDCU）后正常，多次开关门测试正常。（日检三班）（备件来源：中车申通）（备件为返修件）（型号：PMC20-110R 生产厂商：IFE）（新件序列号：ZE234213 0569 （部：5498145）  旧件序列号：ZE4530007782 1117（服：5498144））
04A02-0430,工作令号:四临-2022-10-14 02022-10-25 18:26 四号线浦东大道站上行0430#车，18:26 浦东大道上行42190次0430号司机报运行方向第三节车厢左侧第一扇门显示故障，至现场切除,回库后读取故障记录正常，调取录像进一步检查为门控器故障，更换一个主门控器（EDCU带MVB通讯）并刷新车门软件后正常，多次开关门测试正常。（日检三班）（备件来源：申通长客）（备件为新件）（型号：FT0036502-001 生产厂商：上海法维莱交通车辆设备有限公司）（旧件序列号：20209/1429（服：5520453） 新件序列号：20576/1611） 备注：新件为全新件
AC05-0428,工作令号:四临-2022-11-7 2022-11-17 10:45 四号线宜山路站上行0428#车，上行第二节第二扇车门显示红色故障。,回库读取故障记录为DC5（车门位置传感器故障）和DC1（车门驱动电机回路断线），更换041642车3号车门处一个从门控制器和一个传动电机后，多次测试开关门功能正常。（日检四班）（备件由中车申通提供，坏件交由中车申通处理）（备件名称：从门控制器 厂商：IFE 型号：PMC20-110R）（备件名称：传动电机 型号规格：N300406R24 生产厂商/品牌：IFE）（备件为返修件） 旧件：ZE235293 0813（服：5546342） 新件：ZE201017998 0913（部：5546345）
AC05-0424,工作令号:四日-2022-12-8 041391车1号车门，车辆智能运维平台IOR报车门故障。,虹桥路值守点确认故障自行消失，查看列车实时监控，开关门正常，询问司机车况正常，回库读取故障记录正常，多次开关门试验正常。（日检三班）
AC05-0403,工作令号:四临-2023-1-7 02023-01-24 08:00 四号线虹桥路站下行0403#车，下行端左侧第二节车第五扇车门显示红色故障。,日检上车确认040142车5号车门切除到位，跟车保驾回库，回库后读取故障记录为DC4（3秒钟内车门不解锁）、DC8（DCU内部安全继电器故障）、DC18（DCU中的输出端A7短路），调取录像发现车门未能正常开启，确认为门控器死机导致车门未开启，检查限位开关及传动机构均正常，更换040142车5号车门处1个从门控制器（LDCU）后，多次开关门测试正常。（日检三班）（备件名称：从门控制器（LDCU） 型号：PMC20-110R 厂商：IFE）（备件由中车申通提供，备件为返修件）（旧件号：ZE230087 0132（服：5647745） 新件号：ZE230087 0140（部：5590620））
AC05-0423,工作令号:四临-2023-1-11 02023-01-28 13:16 四号线延安西路站上行0423#车，司机报上行司机室右侧司机室门关不上,日检上车确认为041381车司机室右侧侧门锁钩断裂，跟车保驾回库，回库后更换一个司机室侧门锁钩后正常，测试开关门功能正常。（日检三班）（备件来源：中车申通）（型号：MY600AP-21309  生产厂商：南京康尼机电股份有限公司）
AC05-0427,工作令号:四临-2023-1-12 02023-01-28 13:17 四号线宜山路站上行0427#车，司机报上行方向右侧第四节车厢第二扇车门故障,日检上车确认041612车8门切除到位，跟车保驾回库，回库后读取故障无相关车门故障代码，下载录像为车门关闭后门控器死机，更换041612车8号车门一个从门控制器后多次开关门测试正常.（日检三班）（备件由中车申通提供，备件为返修件）（型号：PMC20-110R 厂商：IFE） 旧件号：ZE4530011325 1209（服：5650870） 新件号：ZE232521 0333（部：5650872）
AC05-0424,工作令号:四临-2023-2-7 02023-02-17 08:51 四号线中潭路站上行0424#车右侧4-5车门故障切除。,日检上车确认车门切除到位，跟车保驾回库，回库后读取故障记录为DC43（门锁闭装置故障），检查车门锁闭装置，车门传动装置，限位开关均正常，进一步检查为门控器故障，更换一个041413车1号车门主门控制器（MDCU）后正常，多次开关门试验正常。（日检三班）（厂商：南京康尼机电股份有限公司 型号：MK7065）（备件来源：中车申通）（备件为返修件） （旧件：0508200024901150500009（服：5687050） 新件：0508200024901232900010（部：5348572））
AC05-0414,工作令号:四日-2023-2-17 040802车4门，6门，8门，10门无法打开,回库检查相关接线均正常，检查040802车2门至4门零速接线导通良好，按技术要求预防性更换2号门主门控器，更换后正常，开关门测试均正常。（日检三班）（备件来源：中车申通）（型号：MK7065 生产厂商：南京康尼机电股份有限公司 ） （旧件：31290200300956002192900139 （服：5687004） 新件：31290200300769002082000562） 备注：新件为全新件，无部件修工单
AC05-0403,工作令号:四日-2023-2-26 040131车7号车门正线报车门故障,回库调取录像确认为乘客扒门导致车门触发防夹功能，回库检查HMI无车门故障，车门相关尺寸均正常，多次开关门测试正常。（日检三班）
AC05-0412,工作令号:四临-2023-3-2 02023-03-02 19:00 19:00 杨树浦路站上行40590次0412#车司机报：列车关门时，车站站台门与列车车门不联动需司机手动关闭站台门,回库读取故障记录无相关车门故障，检查与通号设备开门与关门信号传输均正常，列车开关门正常，车况正常。（日检三班）
AC05-0420,工作令号:四临-2023-3-15 02023-03-21 08:22 四号线杨树浦路站上行0420#车，司机报左侧第五节车厢第二扇车门故障,"回库读取故障代码为DC2（""车门关闭""限位开关故障），更换一个限位开关后多次开关门正常，列车正常。（日检三班）（备件来源：中车申通）（型号：8HN400639P01 生产厂商：南京康尼机电股份有限公司）"
